Date : 2021-07-08 18:14:21
Directory : c:\Users\lhk960705\scoreIndex
Total : 102 files,  22443 codes, 1350 comments, 632 blanks, all 24425 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          2 |     11,967 |          0 |          2 |     11,969 |
| Vue        |         67 |      8,609 |        991 |        436 |     10,036 |
| JavaScript |         30 |      1,391 |        327 |        155 |      1,873 |
| CSS        |          1 |        443 |         25 |         30 |        498 |
| HTML       |          1 |         19 |          7 |          1 |         27 |
| Markdown   |          1 |         14 |          0 |          8 |         22 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                    |        102 |     22,443 |      1,350 |        632 |     24,425 |
| build                                                                                |          7 |        451 |         52 |         56 |        559 |
| config                                                                               |          3 |         48 |        102 |         38 |        188 |
| src                                                                                  |         87 |      9,937 |      1,187 |        525 |     11,649 |
| src\components                                                                       |         68 |      9,010 |      1,011 |        460 |     10,481 |
| src\components\board                                                                 |          1 |          9 |          0 |          4 |         13 |
| src\components\common                                                                |         14 |        265 |         14 |         38 |        317 |
| src\components\common\charts                                                         |          4 |          0 |          0 |          4 |          4 |
| src\components\common\formComponents                                                 |          7 |        150 |          6 |         21 |        177 |
| src\components\data                                                                  |          1 |        258 |         19 |          6 |        283 |
| src\components\overall                                                               |         28 |      3,129 |        644 |        243 |      4,016 |
| src\components\overall\dept                                                          |          5 |        611 |        114 |         51 |        776 |
| src\components\overall\group                                                         |          4 |        583 |        103 |         54 |        740 |
| src\components\overall\oldcodes                                                      |         11 |      1,187 |        362 |         84 |      1,633 |
| src\components\overall\oldcodes\dept                                                 |          5 |        498 |        118 |         38 |        654 |
| src\components\overall\oldcodes\group                                                |          4 |        552 |        241 |         38 |        831 |
| src\components\overall\oldcodes\system                                               |          1 |         85 |          2 |          5 |         92 |
| src\components\overall\oldcodes\top                                                  |          1 |         52 |          1 |          3 |         56 |
| src\components\overall\overallHead                                                   |          2 |        136 |         12 |         14 |        162 |
| src\components\overall\systems                                                       |          1 |        168 |         21 |         10 |        199 |
| src\components\overall\top                                                           |          4 |        231 |         13 |         22 |        266 |
| src\components\report                                                                |          7 |        341 |         58 |         26 |        425 |
| src\components\report\common                                                         |          2 |        171 |         48 |          8 |        227 |
| src\components\report\reports                                                        |          4 |        128 |          4 |         15 |        147 |
| src\components\score                                                                 |          6 |      3,001 |        154 |         73 |      3,228 |
| src\components\show                                                                  |         10 |      1,943 |        117 |         64 |      2,124 |
| src\components\show\finished                                                         |          2 |        466 |         11 |         12 |        489 |
