"filename", "language", "JavaScript", "Vue", "Markdown", "JSON", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\lhk960705\scoreIndex\.postcssrc.js", "JavaScript", 7, 0, 0, 0, 0, 0, 2, 2, 11
"c:\Users\lhk960705\scoreIndex\README.md", "Markdown", 0, 0, 14, 0, 0, 0, 0, 8, 22
"c:\Users\lhk960705\scoreIndex\build\build.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 7, 42
"c:\Users\lhk960705\scoreIndex\build\check-versions.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 10, 55
"c:\Users\lhk960705\scoreIndex\build\utils.js", "JavaScript", 80, 0, 0, 0, 0, 0, 5, 17, 102
"c:\Users\lhk960705\scoreIndex\build\vue-loader.conf.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\lhk960705\scoreIndex\build\webpack.base.conf.js", "JavaScript", 78, 0, 0, 0, 0, 0, 10, 5, 93
"c:\Users\lhk960705\scoreIndex\build\webpack.dev.conf.js", "JavaScript", 78, 0, 0, 0, 0, 0, 12, 7, 97
"c:\Users\lhk960705\scoreIndex\build\webpack.prod.conf.js", "JavaScript", 114, 0, 0, 0, 0, 0, 25, 8, 147
"c:\Users\lhk960705\scoreIndex\config\dev.env.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\lhk960705\scoreIndex\config\index.js", "JavaScript", 38, 0, 0, 0, 0, 0, 102, 35, 175
"c:\Users\lhk960705\scoreIndex\config\prod.env.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\lhk960705\scoreIndex\index.html", "HTML", 0, 0, 0, 0, 19, 0, 7, 1, 27
"c:\Users\lhk960705\scoreIndex\package-lock.json", "JSON", 0, 0, 0, 11888, 0, 0, 0, 1, 11889
"c:\Users\lhk960705\scoreIndex\package.json", "JSON", 0, 0, 0, 79, 0, 0, 0, 1, 80
"c:\Users\lhk960705\scoreIndex\src\App.vue", "Vue", 0, 44, 0, 0, 0, 0, 5, 6, 55
"c:\Users\lhk960705\scoreIndex\src\components\board\board.vue", "Vue", 0, 9, 0, 0, 0, 0, 0, 4, 13
"c:\Users\lhk960705\scoreIndex\src\components\common\bus.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\lhk960705\scoreIndex\src\components\common\charts\colHistogram.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lhk960705\scoreIndex\src\components\common\charts\line.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lhk960705\scoreIndex\src\components\common\charts\ring.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lhk960705\scoreIndex\src\components\common\charts\rowHistogram.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lhk960705\scoreIndex\src\components\common\commonTest.vue", "Vue", 0, 27, 0, 0, 0, 0, 5, 4, 36
"c:\Users\lhk960705\scoreIndex\src\components\common\formComponents\button.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 1, 1
